"Entity ID","Value ID","代表詞","同義詞1","同義詞2","同義詞3","同義詞4","同義詞5"
"A","001","如何","怎麼辦","怎辦","怎麼","怎樣",
"A","002","什麼","何謂","什麼是","是什麼","為何",
"A","003","為什麼","為甚麼",,,,
"A","004","多久",,,,,
"A","005","多大",,,,,
"A","006","何時","哪時",,,,
"A","007","哪裡","到哪",,,,
"A","008","哪些","哪種",,,,
"A","009","幾個",,,,,
"A","010","能不能","行不行",,,,
"A","011","有沒有","有無",,,,
"A","012","是否","是不是",,,,
"A","013","需要","須","需",,,
"A","014","想要","要",,,,
"A","015","多少",,,,,
"A","016","幾種",,,,,
"B","001","調升","調高",,,,
"B","002","繳","繳交",,,,
"B","003","限制",,,,,
"B","004","辦理","申辦","申請","申請單","辦",
"B","005","知道",,,,,
"B","006","還款","還錢",,,,
"B","007","繳款",,,,,
"B","008","計收",,,,,
"B","009","使用","利用","用",,,
"B","010","判斷",,,,,
"B","011","通過",,,,,
"B","012","負擔",,,,,
"B","013","計算",,,,,
"B","014","差異","不同",,,,
"B","015","看",,,,,
"B","016","處理",,,,,
"B","017","無法使用",,,,,
"B","018","無法連線",,,,,
"B","019","免簽名","不用簽名",,,,
"B","020","簽英文",,,,,
"B","021","補寄",,,,,
"B","022","申請",,,,,
"B","023","變更","更改",,,,
"B","024","轉換","轉變",,,,
"B","025","語音登錄",,,,,
"B","026","預約",,,,,
"B","027","進去","進入",,,,
"B","028","攜伴",,,,,
"B","029","享有",,,,,
"B","030","投保",,,,,
"B","031","查詢","查帳",,,,
"B","032","補發",,,,,
"B","033","全額刷卡",,,,,
"B","034","收費",,,,,
"B","035","遺失","不見",,,,
"C","001","預借現金",,,,,
"C","002","一次性預借現金密碼",,,,,
"C","003","密碼",,,,,
"C","004","款項",,,,,
"C","005","額度",,,,,
"C","006","日限額",,,,,
"C","007","金額",,,,,
"C","008","服務",,,,,
"C","009","資格",,,,,
"C","010","分期利率",,,,,
"C","011","帳單分期",,,,,
"C","012","期數",,,,,
"C","013","利息",,,,,
"C","014","數字",,,,,
"C","015","審核",,,,,
"C","016","信福貸",,,,,
"C","017","方式",,,,,
"C","018","提前清償違約金",,,,,
"C","019","約定單筆分期",,,,,
"C","020","單筆分期","分期之單筆",,,,
"C","021","利息",,,,,
"C","022","長期循環轉換分期",,,,,
"C","023","信貸專案",,,,,
"C","024","信用卡","卡片","中信卡","卡",,
"C","025","約定帳單分期",,,,,
"C","026","申請金額",,,,,
"C","027","消費門檻",,,,,
"C","028","清償違約金",,,,,
"C","029","信用卡權益手冊",,,,,
"C","030","開卡方式","開卡","辦卡",,,
"C","031","語音回覆系統",,,,,
"C","032","24小時","24","全天","整天",,
"C","033","刷卡",,,,,
"C","034","卡片簽名",,,,,
"C","035","帳單",,,,,
"C","036","電子信用卡帳單",,,,,
"C","037","費用",,,,,
"C","038","電子郵件信箱",,,,,
"C","039","帳單地址",,,,,
"C","040","長期循環轉換專案","長期循環轉換方案",,,,
"C","041","額高信用額度",,,,,
"C","042","服務時間","服務範圍",,,,
"C","043","服務專線",,,,,
"C","044","服務項目",,,,,
"C","045","車籍資料","車籍",,,,
"C","046","車輛","車子",,,,
"C","047","退費","退錢",,,,
"C","048","機場貴賓室","貴賓室",,,,
"C","049","龍騰卡",,,,,
"C","050","海外貴賓室",,,,,
"C","051","小孩","小朋友",,,,
"C","052","保障",,,,,
"C","053","旅遊平安險",,,,,
"C","054","對象",,,,,
"C","055","旅遊保險","保險",,,,
"C","056","交通工具","公共運輸工具",,,,
"C","057","ATM","atm","Atm","ATm","aTM",
"C","058","帳單金額",,,,,
"C","059","劃撥繳款",,,,,
"C","060","自動扣繳",,,,,
"C","061","快速存繳款機",,,,,
"C","062","現金存款機",,,,,
"C","063","信用卡款",,,,,
"C","064","補發新卡",,,,,
"C","065","舊卡",,,,,
"C","066","手續費",,,,,
"C","067","掛失收費100元",,,,,
"C","068","附卡",,,,,
"C","069","我要負擔",,,,,
"C","070","語音",,,,,
"C","071","外幣匯率",,,,,
"C","072","你好","哈囉",,,,
"D","001","預借現金",,,,,
"D","002","分期靈活金",,,,,
"D","003","帳單分期",,,,,
"D","004","單筆分期","筆分期","分期之單筆",,,
"D","005","信福貸",,,,,
"D","006","提前還款",,,,,
"D","007","約定單筆分期",,,,,
"D","008","餘額不足",,,,,
"D","009","每期最低",,,,,
"D","010","長期循環轉換專案","轉換專案","長期循環轉換方案",,,
"D","011","核卡",,,,,
"D","012","收到卡片",,,,,
"D","013","開卡完成",,,,,
"D","014","語音開卡",,,,,
"D","015","新卡",,,,,
"D","016","沒有收到","未收到",,,,
"D","017","電子帳單",,,,,
"D","018","帳單","實體帳單",,,,
"D","019","信用卡",,,,,
"D","020","道路救援",,,,,
"D","021","車輛廠牌",,,,,
"D","022","高速公路",,,,,
"D","023","強排",,,,,
"D","024","刷機票",,,,,
"D","025","團費",,,,,
"D","026","龍騰卡",,,,,
"D","027","同一天",,,,,
"D","028","中信卡",,,,,
"D","029","折扣價",,,,,
"D","030","機票",,,,,
"D","031","旅遊保險",,,,,
"D","032","包機",,,,,
"D","033","傷害險",,,,,
"D","034","公共運輸",,,,,
"D","035","語音",,,,,
"D","036","郵局",,,,,
"D","037","親自臨櫃","臨櫃",,,,
"D","038","網路銀行",,,,,
"D","039","統一超商",,,,,
"D","040","ｉ繳費APP",,,,,
"D","041","毀補後","毀補",,,,
"D","042","無法確定",,,,,
"D","043","正卡掛失","掛失卡片",,,,
"D","044","毀壞","毀損","毀","壞",,
"D","045","機場貴賓室","貴賓室",,,,
